"","Zooplankton_group","Treatment","Taxa","mean.size","sd.size"
"100","Cyclopoid copepods","Lake","Thermocyclops",654.473684210526,101.382534036595
"101","Cyclopoid copepods","Lake","Mesocyclops",651.04,70.4589005496585
"102","Cladocerans","Lake","Polyphemus",615,146.749219191563
"103","Cyclopoid copepods","Lake","Microcyclops",590.166666666667,92.1892235631501
"104","Cladocerans","Lake","Diaphanosoma",553.75,77.4903219763604
"105","Cyclopoid copepods","Lake","Diacyclops",533,7.07106781186548
"106","Calanoid copepods","Lake","Calanoid sp",515,NA
"107","Cladocerans","Lake","Daphnia",493.913043478261,183.170539771865
"108","Cladocerans","Lake","Cladoceran sp",438.666666666667,382.211110949608
"109","Cladocerans","Lake","Ceriodaphnia",421.263157894737,103.835807032982
"110","Copepods","Lake","Copepodite",379.139534883721,15.5311996215128
"111","Cladocerans","Lake","Bosmina",359.095238095238,134.489606004006
"112","Cladocerans","Lake","Chydorus",275.111111111111,48.6426881567118
"113","Cladocerans","Lake","Small cladoceran",262.818181818182,91.2193161362419
"114","Rotifers","Lake","Trichocerca",145.111111111111,78.3558165481549
"115","Rotifers","Lake","Kellicottia",113,9.79795897113271
"116","Rotifers","Lake","Filinia",107,NA
"117","Rotifers","Lake","Synchaeta",97,0
"118","Rotifers","Lake","Keratella",82.3448275862069,4.21964675289435
"119","Rotifers","Lake","Polyarthra",64.0263157894737,12.7140842144094
"120","Cladocerans","Lake","Eurycercus",NA,NA
"121","Cladocerans","Lake","Sida",NA,NA
"122","Diptera","Lake","Chaoborus",NA,NA
"123","Rotifers","Lake","Asplanchna",NA,NA
"124","Rotifers","Lake","Lecane",NA,NA
"125","Rotifers","Lake","Monostyla",NA,NA
"126","Diptera","S","Chaoborus",2861.66666666667,550.118411495804
"127","Cladocerans","S","Sida",942.5,113.844191771034
"128","Calanoid copepods","S","Eurytemora",905.142857142857,198.664229770928
"129","Calanoid copepods","S","Eudiaptomus",848.696,245.011067031148
"130","Calanoid copepods","S","Calanoid sp",752,55.1543289325507
"131","Cladocerans","S","Daphnia",689.554545454545,229.225076853703
"132","Cyclopoid copepods","S","Mesocyclops",678.394736842105,138.005169739068
"133","Cladocerans","S","Polyphemus",672.6,270.921206257465
"134","Cyclopoid copepods","S","Thermocyclops",660.649635036496,146.639042191085
"135","Cyclopoid copepods","S","Cyclopoid sp",636.045454545455,230.681697268217
"136","Cyclopoid copepods","S","Microcyclops",623.294117647059,133.764614112984
"137","Cyclopoid copepods","S","Cyclops",596.4375,123.714169897119
"138","Rotifers","S","Asplanchna",595,NA
"139","Cladocerans","S","Diaphanosoma",565.6,232.63770115783
"140","Cyclopoid copepods","S","Diacyclops",521.076923076923,76.5609360122832
"141","Cladocerans","S","Ceriodaphnia",444.78612716763,82.3881583944859
"142","Cladocerans","S","Cladoceran sp",405,NA
"143","Copepods","S","Copepodite",376.078571428571,15.7233583545152
"144","Cladocerans","S","Bosmina",349.218390804598,93.1491346085425
"145","Cladocerans","S","Chydorus",294.636363636364,50.8692308466961
"146","Cladocerans","S","Holopedium",260,NA
"147","Cladocerans","S","Small cladoceran",246.844444444444,55.4862618359288
"148","Rotifers","S","Trichocerca",145.409836065574,79.6687678347419
"149","Rotifers","S","Kellicottia",112.394495412844,11.2694427452883
"150","Rotifers","S","Filinia",107,0
"151","Rotifers","S","Synchaeta",97,0
"152","Rotifers","S","Lecane",85,0
"153","Rotifers","S","Keratella",84.2587412587413,4.67946260113257
"154","Rotifers","S","Polyarthra",59.2070175438596,8.46662359918513
"155","Cladocerans","S","Eurycercus",NA,NA
"156","Rotifers","S","Monostyla",NA,NA
